userId,title,rating
1,Leather Jacket Love Story (1997),4.695716
1,Smashing Time (1967),4.620548
1,"Fire Within, The (Le Feu Follet) (1963)",4.569169
3,"Bewegte Mann, Der (1994)",5.045732
3,Leather Jacket Love Story (1997),4.7476263
3,Window to Paris (1994),4.717675
5,Mamma Roma (1962),4.742301
5,Hearts and Minds (1996),4.475989
5,"Ballad of Narayama, The (Narayama Bushiko) (1982)",4.323815
6,Bandits (1997),4.930354
6,"Midaq Alley (Callej�n de los milagros, El) (1995)",4.7008343
6,"Big Trees, The (1952)",4.687597
7,"Bewegte Mann, Der (1994)",5.1899533
7,Leather Jacket Love Story (1997),4.878561
7,"Big Trees, The (1952)",4.792022
9,Leather Jacket Love Story (1997),4.64464
9,"Inheritors, The (Die Siebtelbauern) (1998)",4.497224
9,"Shawshank Redemption, The (1994)",4.4361615
10,Bandits (1997),5.58259
10,Leather Jacket Love Story (1997),5.2134414
10,Firelight (1997),5.1058335
11,"Inheritors, The (Die Siebtelbauern) (1998)",4.9473424
11,Talk of Angels (1998),4.515024
11,Man of the Century (1999),4.4824996
12,Mamma Roma (1962),4.775401
12,"Inheritors, The (Die Siebtelbauern) (1998)",4.6042223
12,Ulysses (Ulisse) (1954),4.584685
13,Leather Jacket Love Story (1997),4.30878
13,"Bewegte Mann, Der (1994)",3.9779332
13,Raiders of the Lost Ark (1981),3.976123
14,I Am Cuba (Soy Cuba/Ya Kuba) (1964),4.6016164
14,Tigrero: A Film That Was Never Made (1994),4.4618287
14,"Bewegte Mann, Der (1994)",4.449401
16,Chushingura (1962),4.773938
16,Country Life (1994),4.739535
16,Leather Jacket Love Story (1997),4.6829653
17,Leather Jacket Love Story (1997),5.346321
17,Mamma Roma (1962),5.279094
17,Sanjuro (1962),4.9380174
18,Leather Jacket Love Story (1997),5.2093754
18,Firelight (1997),4.9757185
18,Star Wars: Episode IV - A New Hope (1977),4.9463644
23,Mamma Roma (1962),4.20729
23,Leather Jacket Love Story (1997),4.131377
23,Window to Paris (1994),4.064614
26,"Big Trees, The (1952)",4.213907
26,Leather Jacket Love Story (1997),4.1586456
26,I Am Cuba (Soy Cuba/Ya Kuba) (1964),4.082442
27,"Apple, The (Sib) (1998)",4.8784347
27,Mamma Roma (1962),4.854219
27,Message to Love: The Isle of Wight Festival (1996),4.8265295
31,Leather Jacket Love Story (1997),4.5876813
31,Star Wars: Episode IV - A New Hope (1977),4.434141
31,Raiders of the Lost Ark (1981),4.414313
33,Ulysses (Ulisse) (1954),4.1698875
33,Leather Jacket Love Story (1997),4.166782
33,"Bewegte Mann, Der (1994)",4.132747
34,Leather Jacket Love Story (1997),5.0730677
34,"Shawshank Redemption, The (1994)",4.8433576
34,Smashing Time (1967),4.642704
